,video_name,Anger,Contempt,Disgust,Fear,Happiness,Neutral,Sadness,Surprise
0,trial_lie_001,83,50,223,7,35,99,8,5
1,trial_lie_002,50,31,767,16,455,227,138,190
2,trial_lie_003,21,3,10,119,0,34,11,14
3,trial_lie_004,9,18,78,82,57,66,24,15
4,trial_lie_005,28,18,517,174,154,330,168,181
5,trial_lie_006,37,102,272,9,21,16,3,86
6,trial_lie_007,85,9,723,131,1,256,47,151
7,trial_lie_008,10,25,133,2,0,6,40,3
8,trial_lie_009,70,311,89,67,2,6,28,46
9,trial_lie_010,2,39,612,28,5,132,4,54
10,trial_lie_011,95,12,473,15,13,213,184,5
11,trial_lie_012,12,6,61,3,14,42,21,78
12,trial_lie_013,43,153,111,9,1,22,96,136
13,trial_lie_014,26,38,141,74,10,90,9,27
14,trial_lie_015,187,68,583,67,8,61,5,51
15,trial_lie_016,57,309,412,65,101,73,15,76
16,trial_lie_017,50,5,859,22,62,146,135,36
17,trial_lie_018,311,212,86,30,4,152,9,231
18,trial_lie_019,18,236,495,20,50,161,15,107
19,trial_lie_020,3,48,165,23,15,27,4,49
20,trial_lie_021,7,11,408,22,12,26,41,18
21,trial_lie_022,12,21,832,102,38,128,38,74
22,trial_lie_023,15,13,928,66,4,124,50,98
23,trial_lie_024,84,103,428,6,0,86,8,19
24,trial_lie_025,7,68,594,4,23,157,7,24
25,trial_lie_026,71,110,366,40,41,156,29,42
26,trial_lie_027,102,138,231,101,2,136,10,88
27,trial_lie_028,56,94,442,34,7,46,4,44
28,trial_lie_029,44,21,351,6,8,94,28,38
29,trial_lie_030,11,176,570,50,40,184,20,81
30,trial_lie_031,52,83,338,14,12,209,10,59
31,trial_lie_032,35,356,58,63,88,35,15,49
32,trial_lie_033,34,856,10,18,55,35,47,70
33,trial_lie_034,15,41,275,66,26,243,36,48
34,trial_lie_035,60,88,20,49,0,10,13,5
35,trial_lie_036,61,422,156,21,4,13,349,143
36,trial_lie_037,220,69,105,119,1,13,124,31
37,trial_lie_038,39,233,88,126,16,20,96,3
38,trial_lie_039,53,386,231,6,13,30,61,30
39,trial_lie_040,143,111,182,71,7,20,80,34
40,trial_lie_041,98,197,67,301,0,3,50,0
41,trial_lie_042,108,190,234,57,3,17,23,43
42,trial_lie_043,70,123,9,33,3,24,68,19
43,trial_lie_044,3,7,2,8,1,14,2,10
