,video_name,Neutral-Neutral,Neutral-Happiness,Neutral-Sadness,Neutral-Surprise,Neutral-Fear,Neutral-Anger,Neutral-Disgust,Neutral-Contempt,Happiness-Neutral,Happiness-Happiness,Happiness-Sadness,Happiness-Surprise,Happiness-Fear,Happiness-Anger,Happiness-Disgust,Happiness-Contempt,Sadness-Neutral,Sadness-Happiness,Sadness-Sadness,Sadness-Surprise,Sadness-Fear,Sadness-Anger,Sadness-Disgust,Sadness-Contempt,Surprise-Neutral,Surprise-Happiness,Surprise-Sadness,Surprise-Surprise,Surprise-Fear,Surprise-Anger,Surprise-Disgust,Surprise-Contempt,Fear-Neutral,Fear-Happiness,Fear-Sadness,Fear-Surprise,Fear-Fear,Fear-Anger,Fear-Disgust,Fear-Contempt,Anger-Neutral,Anger-Happiness,Anger-Sadness,Anger-Surprise,Anger-Fear,Anger-Anger,Anger-Disgust,Anger-Contempt,Disgust-Neutral,Disgust-Happiness,Disgust-Sadness,Disgust-Surprise,Disgust-Fear,Disgust-Anger,Disgust-Disgust,Disgust-Contempt,Contempt-Neutral,Contempt-Happiness,Contempt-Sadness,Contempt-Surprise,Contempt-Fear,Contempt-Anger,Contempt-Disgust,Contempt-Contempt,target
0,trial_lie_001_0,3,0,0,1,0,1,3,0,0,3,0,0,0,0,3,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,4,0,3,0,1,0,0,6,3,1,2,3,0,1,4,6,13,1,1,2,0,0,0,0,1,4,0
1,trial_lie_001_1,12,0,2,0,0,8,7,3,0,1,0,0,0,0,3,0,2,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,9,0,1,1,0,8,6,2,7,2,0,1,0,9,13,6,1,1,0,0,0,2,7,7,0
2,trial_lie_002_0,21,4,1,6,0,1,9,2,4,27,1,8,0,0,13,1,1,0,8,1,0,0,7,0,3,6,0,23,0,0,14,0,1,0,1,0,4,0,2,0,1,0,0,0,0,2,2,0,11,16,7,7,4,2,44,0,2,1,0,0,0,0,0,3,0
3,trial_lie_002_1,14,7,1,1,0,0,6,0,2,28,3,6,0,0,20,0,1,1,15,0,0,2,12,0,5,4,0,14,0,0,5,0,0,0,1,0,1,0,0,0,0,0,1,0,0,4,3,0,7,19,10,6,1,2,43,1,0,0,0,0,0,0,1,1,0
4,trial_lie_003_0,5,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,2,1,0,0,2,0,1,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
5,trial_lie_003_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,4,0,0,0,0,0,2,4,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
6,trial_lie_004_0,7,0,0,2,1,0,3,1,1,2,0,1,0,0,0,0,1,0,4,0,2,0,1,0,1,0,0,3,1,0,0,1,1,0,2,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,5,1,2,1,0,0,0,0,0,3,0
7,trial_lie_004_1,2,1,0,0,1,0,0,0,1,6,1,0,0,0,4,0,0,0,2,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,5,0,4,0,0,0,0,0,0,1,1,0,0,4,0,1,4,1,8,1,1,0,0,0,0,0,0,1,0
8,trial_lie_005_0,15,1,2,1,3,0,10,1,0,2,0,0,0,0,2,0,1,0,16,0,1,1,14,0,1,0,0,2,0,0,1,0,2,0,1,0,8,0,5,0,0,0,0,0,0,3,3,0,14,1,14,0,4,2,33,0,0,0,0,1,0,0,0,1,0
9,trial_lie_005_1,25,10,1,5,6,0,4,1,7,23,2,9,2,0,5,0,1,1,10,3,3,0,2,0,10,8,2,22,6,0,0,0,3,2,3,8,25,0,9,0,0,0,0,0,0,0,0,0,6,3,2,1,7,0,17,0,0,1,0,0,0,0,0,1,0
